3 100000
0 0.001 1 0.001 0 0
0 53.501 -1.13998 53.501 -nan -nan
0 53.601 -1.14398 53.601 -nan -nan
0 53.701 -1.14798 53.701 -nan -nan
0 53.801 -1.15198 53.801 -nan -nan
0 53.901 -1.15598 53.901 -nan -nan
0 54.001 -1.15998 54.001 -nan -nan
0 54.101 -1.16398 54.101 -nan -nan
0 54.201 -1.16798 54.201 -nan -nan
0 54.301 -1.17198 54.301 -nan -nan
0 54.401 -1.17598 54.401 -nan -nan
0 54.501 -1.17998 54.501 -nan -nan
0 54.601 -1.18398 54.601 -nan -nan
0 54.701 -1.18798 54.701 -nan -nan
0 54.801 -1.19198 54.801 -nan -nan
0 54.901 -1.19598 54.901 -nan -nan
0 55.001 -1.19998 55.001 -nan -nan
0 55.101 -1.20398 55.101 -nan -nan
0 55.201 -1.20798 55.201 -nan -nan
0 55.301 -1.21198 55.301 -nan -nan
0 55.401 -1.21598 55.401 -nan -nan
0 55.501 -1.21998 55.501 -nan -nan
0 55.601 -1.22398 55.601 -nan -nan
0 55.701 -1.22798 55.701 -nan -nan
0 55.801 -1.23198 55.801 -nan -nan
0 55.901 -1.23598 55.901 -nan -nan
0 56.001 -1.23998 56.001 -nan -nan
0 56.101 -1.24398 56.101 -nan -nan
0 56.201 -1.24798 56.201 -nan -nan
0 56.301 -1.25198 56.301 -nan -nan
0 56.401 -1.25598 56.401 -nan -nan
0 56.501 -1.25998 56.501 -nan -nan
0 56.601 -1.26398 56.601 -nan -nan
0 56.701 -1.26798 56.701 -nan -nan
0 56.801 -1.27198 56.801 -nan -nan
0 56.901 -1.27598 56.901 -nan -nan
0 57.001 -1.27998 57.001 -nan -nan
0 57.101 -1.28398 57.101 -nan -nan
0 57.201 -1.28798 57.201 -nan -nan
0 57.301 -1.29198 57.301 -nan -nan
0 57.401 -1.29598 57.401 -nan -nan
0 57.501 -1.29998 57.501 -nan -nan
0 57.601 -1.30398 57.601 -nan -nan
0 57.701 -1.30798 57.701 -nan -nan
0 57.801 -1.31198 57.801 -nan -nan
0 57.901 -1.31598 57.901 -nan -nan
0 58.001 -1.31998 58.001 -nan -nan
0 58.101 -1.32398 58.101 -nan -nan
0 58.201 -1.32798 58.201 -nan -nan
0 58.301 -1.33198 58.301 -nan -nan
0 58.401 -1.33598 58.401 -nan -nan
0 58.501 -1.33998 58.501 -nan -nan
0 58.601 -1.34398 58.601 -nan -nan
0 58.701 -1.34798 58.701 -nan -nan
0 58.801 -1.35198 58.801 -nan -nan
0 58.901 -1.35598 58.901 -nan -nan
0 59.001 -1.35998 59.001 -nan -nan
0 59.101 -1.36398 59.101 -nan -nan
0 59.201 -1.36798 59.201 -nan -nan
0 59.301 -1.37198 59.301 -nan -nan
0 59.401 -1.37598 59.401 -nan -nan
0 59.501 -1.37998 59.501 -nan -nan
0 59.601 -1.38398 59.601 -nan -nan
0 59.701 -1.38798 59.701 -nan -nan
0 59.801 -1.39198 59.801 -nan -nan
0 59.901 -1.39598 59.901 -nan -nan
